timestamp,trial_id,expected_label,detected_label,confidence,detection_correct,expected_action,actual_action,action_match,manual_success,distance_cm,capture_time_ms,inference_time_ms,total_perception_time_ms,note
2026-06-19T02:31:20.366654,1,stop,stop,0.984,1,stop_3_sec,stop_3_sec,1,1,103.87,1064.4,376.6,1441.1,success
2026-06-19T02:31:50.285199,2,stop,stop,0.989,1,stop_3_sec,stop_3_sec,1,1,104.04,1059.5,306.9,1366.5,success
2026-06-19T02:32:06.671975,3,stop,stop,0.985,1,stop_3_sec,stop_3_sec,1,1,103.95,1070.8,324.8,1395.6,success
2026-06-19T02:34:41.371586,4,do_not_enter,do_not_enter,0.987,1,do_not_enter_right_turn,do_not_enter_right_turn,1,1,105.07,1053.1,305.7,1358.7,success
2026-06-19T02:35:24.841414,5,do_not_enter,do_not_enter,0.986,1,do_not_enter_right_turn,do_not_enter_right_turn,1,1,103.83,1063.9,303.7,1367.6,success
2026-06-19T02:35:46.155656,6,do_not_enter,do_not_enter,0.984,1,do_not_enter_right_turn,do_not_enter_right_turn,1,1,104.05,1077.7,327.5,1405.2,success
2026-06-19T02:41:14.198787,1,speed_30,speed_30,0.935,1,speed_30_low_speed,speed_30_low_speed,1,1,103.90,1068.5,384.5,1453.0,success
2026-06-19T02:41:34.390803,2,speed_30,speed_50,0.753,0,speed_30_low_speed,speed_50_fast_speed,0,0,105.16,1058.2,300.9,1359.1,failure
2026-06-19T02:42:09.124239,3,speed_30,speed_50,0.975,0,speed_30_low_speed,speed_50_fast_speed,0,1,108.22,1064.7,307.5,1372.2,success
2026-06-19T02:43:26.982273,4,speed_50,speed_50,0.991,1,speed_50_fast_speed,speed_50_fast_speed,1,1,104.75,1142.3,321.8,1464.0,success
2026-06-19T02:44:03.859425,5,speed_50,speed_50,0.993,1,speed_50_fast_speed,speed_50_fast_speed,1,1,105.01,1040.6,305.6,1346.3,success
2026-06-19T02:44:20.395504,6,speed_50,speed_50,0.993,1,speed_50_fast_speed,speed_50_fast_speed,1,1,105.58,1069.2,319.3,1388.5,success
2026-06-19T02:45:16.235648,7,right_turn,left_turn,0.977,0,right_turn,left_turn,0,0,103.78,1062.9,324.0,1386.8,failure
2026-06-19T02:46:01.614990,8,right_turn,left_turn,0.968,0,right_turn,left_turn,0,0,104.70,1060.5,327.9,1388.4,failure
2026-06-19T02:46:26.140772,9,right_turn,left_turn,0.955,0,right_turn,left_turn,0,0,104.86,1045.7,322.0,1367.7,failure
2026-06-19T02:47:26.755995,1,right_turn,left_turn,0.948,0,right_turn,left_turn,0,0,78.78,1059.7,381.7,1441.4,failure
2026-06-19T02:48:32.844115,2,left_turn,left_turn,0.951,1,left_turn,left_turn,1,1,104.17,1048.9,325.2,1374.1,success
2026-06-19T02:49:07.187881,3,left_turn,left_turn,0.939,1,left_turn,left_turn,1,1,105.04,1085.1,324.7,1409.8,success
2026-06-19T02:49:22.676498,4,left_turn,left_turn,0.906,1,left_turn,left_turn,1,1,104.68,1071.4,321.4,1392.8,success
2026-06-19T02:50:20.993301,5,bus_only_lane,bus_only_lane,0.985,1,bus_only_lane_detect_only_forward,bus_only_lane_detect_only_forward,1,1,104.72,1050.5,353.2,1403.7,success
2026-06-19T02:50:46.928068,6,bus_only_lane,bus_only_lane,0.977,1,bus_only_lane_detect_only_forward,bus_only_lane_detect_only_forward,1,1,104.37,1061.8,325.7,1387.5,success
2026-06-19T02:51:01.009420,7,bus_only_lane,bus_only_lane,0.982,1,bus_only_lane_detect_only_forward,bus_only_lane_detect_only_forward,1,1,105.37,1066.8,316.1,1383.0,success
2026-06-19T02:55:18.442962,1,school_zone,school_zone,0.984,1,school_zone_slow_down,school_zone_slow_down,1,1,103.33,1061.3,384.9,1446.2,success
2026-06-19T02:55:37.664781,2,school_zone,school_zone,0.973,1,school_zone_slow_down,school_zone_slow_down,1,1,103.93,1051.4,323.1,1374.6,success
2026-06-19T02:55:53.578587,3,school_zone,school_zone,0.979,1,school_zone_slow_down,school_zone_slow_down,1,1,103.41,1054.1,325.7,1379.8,success
2026-06-19T02:56:50.917353,4,crosswalk,crosswalk,0.989,1,crosswalk_slow_then_stop,crosswalk_slow_then_stop,1,1,105.32,1050.0,331.2,1381.2,success
2026-06-19T02:57:06.796777,5,crosswalk,crosswalk,0.982,1,crosswalk_slow_then_stop,crosswalk_slow_then_stop,1,1,105.36,1050.9,321.7,1372.5,success
2026-06-19T02:57:25.096948,6,crosswalk,crosswalk,0.981,1,crosswalk_slow_then_stop,crosswalk_slow_then_stop,1,1,105.08,1056.5,331.4,1388.0,success
2026-06-19T02:58:17.511387,7,falling_rocks,falling_rocks,0.980,1,falling_rocks_pwm_15,falling_rocks_pwm_15,1,1,105.13,1075.6,322.3,1397.8,success
2026-06-19T02:58:41.153214,8,falling_rocks,falling_rocks,0.984,1,falling_rocks_pwm_15,falling_rocks_pwm_15,1,1,104.43,1063.9,327.8,1391.7,success
2026-06-19T02:59:01.253963,9,falling_rocks,falling_rocks,0.971,1,falling_rocks_pwm_15,falling_rocks_pwm_15,1,1,105.28,1059.8,323.6,1383.4,success
