epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9941,0.50113,2.90837,0.93093,0.61271,0.882,0.77561,0.75054,0.31304,2.04232,0.8104,0.000236494,0.000236494,0.000236494
2,57.7846,0.42973,1.63006,0.89686,0.85612,0.89638,0.87333,0.85259,0.28903,1.5341,0.80662,0.000468622,0.000468622,0.000468622
3,84.8528,0.43056,1.36436,0.88561,0.86913,0.91447,0.87304,0.84712,0.30539,1.28718,0.81392,0.000694859,0.000694859,0.000694859
4,111.341,0.40784,1.22472,0.88106,0.85244,0.94439,0.88261,0.86036,0.29896,1.14199,0.81111,0.000687493,0.000687493,0.000687493
5,137.349,0.40355,1.08119,0.89033,0.81181,0.96889,0.88499,0.86631,0.27011,0.999,0.80132,0.000678657,0.000678657,0.000678657
6,163.88,0.37389,0.95756,0.87598,0.859,0.95378,0.89366,0.88296,0.25079,0.85363,0.79123,0.000669821,0.000669821,0.000669821
7,190.425,0.35119,0.88351,0.86903,0.80316,0.96672,0.8822,0.87004,0.26528,0.78027,0.8034,0.000660986,0.000660986,0.000660986
8,216.299,0.34183,0.81838,0.87182,0.83778,0.97173,0.88663,0.87905,0.22308,0.72313,0.78874,0.00065215,0.00065215,0.00065215
9,241.074,0.32978,0.76687,0.85774,0.85378,0.97011,0.8922,0.88503,0.21162,0.65776,0.79309,0.000643314,0.000643314,0.000643314
10,266.525,0.31569,0.76146,0.85939,0.82392,0.91193,0.87306,0.86783,0.20756,0.70108,0.79195,0.000634478,0.000634478,0.000634478
11,292.712,0.30615,0.69601,0.85961,0.84931,0.959,0.88904,0.88505,0.19101,0.58562,0.78738,0.000625642,0.000625642,0.000625642
12,319.409,0.31125,0.68042,0.85815,0.84801,0.97411,0.88298,0.8766,0.18928,0.576,0.78998,0.000616807,0.000616807,0.000616807
13,344.18,0.29808,0.64448,0.85198,0.84033,0.9803,0.88674,0.88107,0.19212,0.53961,0.79101,0.000607971,0.000607971,0.000607971
14,369.043,0.30122,0.65234,0.86439,0.84088,0.9793,0.88593,0.87856,0.19863,0.50568,0.79358,0.000599135,0.000599135,0.000599135
15,394.652,0.27096,0.59031,0.84506,0.86166,0.97194,0.89892,0.89402,0.19082,0.47743,0.78295,0.0005903,0.0005903,0.0005903
16,421.538,0.25979,0.57708,0.84534,0.85582,0.9684,0.89293,0.88941,0.17759,0.48782,0.78133,0.000581464,0.000581464,0.000581464
17,446.386,0.27184,0.56695,0.84956,0.84719,0.94497,0.89402,0.88766,0.18634,0.48431,0.78407,0.000572628,0.000572628,0.000572628
18,472.397,0.26623,0.558,0.85068,0.84967,0.97322,0.90219,0.89504,0.17668,0.45157,0.78291,0.000563792,0.000563792,0.000563792
19,499.189,0.26295,0.54769,0.84744,0.85291,0.95322,0.89411,0.88625,0.19078,0.45096,0.7818,0.000554956,0.000554956,0.000554956
20,525.133,0.27258,0.54655,0.8487,0.8328,0.97115,0.89561,0.89066,0.17254,0.44777,0.77798,0.000546121,0.000546121,0.000546121
21,549.652,0.25933,0.51123,0.84532,0.84409,0.96588,0.90924,0.90098,0.17277,0.45319,0.78102,0.000537285,0.000537285,0.000537285
22,576.161,0.26175,0.50689,0.84361,0.83776,0.94885,0.90351,0.89798,0.17919,0.44768,0.77843,0.000528449,0.000528449,0.000528449
23,602.65,0.25554,0.48701,0.84074,0.86528,0.94057,0.93393,0.92917,0.15509,0.39258,0.77668,0.000519613,0.000519613,0.000519613
24,630.288,0.25183,0.48431,0.84118,0.8588,0.95266,0.92334,0.91161,0.16867,0.39723,0.78494,0.000510778,0.000510778,0.000510778
25,654.882,0.2458,0.49364,0.84354,0.86127,0.94848,0.90717,0.90045,0.1763,0.43602,0.78371,0.000501942,0.000501942,0.000501942
26,680.446,0.2323,0.47865,0.8367,0.8416,0.95126,0.88413,0.88014,0.16544,0.42868,0.78307,0.000493106,0.000493106,0.000493106
27,706.548,0.23937,0.46793,0.83632,0.86058,0.9578,0.91924,0.91311,0.15905,0.38771,0.7822,0.000484271,0.000484271,0.000484271
28,732.492,0.23552,0.45082,0.8316,0.88637,0.93323,0.93101,0.92445,0.16012,0.39876,0.78047,0.000475435,0.000475435,0.000475435
29,757.187,0.22815,0.45792,0.83804,0.87114,0.94658,0.93828,0.93393,0.1614,0.39141,0.78197,0.000466599,0.000466599,0.000466599
30,784.223,0.2246,0.45409,0.83582,0.89537,0.93562,0.9454,0.93757,0.15385,0.35783,0.7766,0.000457763,0.000457763,0.000457763
31,811.195,0.22183,0.41133,0.83624,0.90437,0.95395,0.96465,0.95638,0.14995,0.32967,0.77382,0.000448928,0.000448928,0.000448928
32,838.373,0.24151,0.43479,0.84758,0.9458,0.94728,0.96423,0.96016,0.15417,0.3267,0.77656,0.000440092,0.000440092,0.000440092
33,864.017,0.21818,0.40298,0.83451,0.91358,0.91982,0.94984,0.9448,0.14798,0.38519,0.77531,0.000431256,0.000431256,0.000431256
34,889.506,0.22366,0.41605,0.83627,0.92071,0.94093,0.96539,0.96074,0.14732,0.31154,0.77791,0.00042242,0.00042242,0.00042242
35,916.621,0.22206,0.39836,0.82968,0.96784,0.9519,0.97516,0.96884,0.14198,0.26841,0.78067,0.000413584,0.000413584,0.000413584
36,943.635,0.22525,0.38373,0.83606,0.95376,0.9387,0.96674,0.95951,0.16563,0.30833,0.78215,0.000404749,0.000404749,0.000404749
37,969.542,0.2177,0.35628,0.83243,0.93722,0.94369,0.96888,0.96205,0.15314,0.29309,0.78322,0.000395913,0.000395913,0.000395913
38,995.045,0.20834,0.37183,0.83357,0.95695,0.93125,0.9679,0.96302,0.1442,0.29363,0.77125,0.000387077,0.000387077,0.000387077
39,1021.49,0.21559,0.36992,0.83905,0.94777,0.9261,0.9634,0.96003,0.14595,0.31388,0.77297,0.000378242,0.000378242,0.000378242
40,1047.82,0.20577,0.36304,0.83329,0.96419,0.95733,0.97646,0.97158,0.14236,0.25636,0.77413,0.000369406,0.000369406,0.000369406
41,1073.98,0.20145,0.33539,0.83124,0.97704,0.95471,0.97811,0.97317,0.12866,0.23355,0.77074,0.00036057,0.00036057,0.00036057
